Organization Name,Primary City,Primary State/Province,Primary Country,URL
Alabama State Archives,Montgomery,Alabama,United States,https://archive-it.org/organizations/62
Alaska State Library,Juneau,Alaska,United States,https://archive-it.org/organizations/305
"Arizona State Library, Archives, and Public Records",Phoenix,Arizona,United States,https://archive-it.org/organizations/152
California State Library,Sacramento,California,United States,https://archive-it.org/organizations/898
City of San Francisco,San Francisco,California,United States,https://archive-it.org/organizations/571
East Bay Regional Park District,Oakland,California,United States,https://archive-it.org/organizations/1457
Los Angeles County Metropolitan Transportation Authority,Los Angeles,California,United States,https://archive-it.org/organizations/1502
San Diego County,Santee,California,United States,https://archive-it.org/organizations/1758
Colorado State Archives,Denver,Colorado,United States,https://archive-it.org/organizations/1513
Connecticut State Library,Hartford,Connecticut,United States,https://archive-it.org/organizations/1363
Delaware Government Information Center,Dover,Delaware,United States,https://archive-it.org/organizations/338
Bureau of Transportation Statistics,Washington,District of Columbia,United States,https://archive-it.org/organizations/1268
NASA,Washington,District of Columbia,United States,https://archive-it.org/organizations/2194
National Fitness Foundation,Washington,District of Columbia,United States,https://archive-it.org/organizations/1302
Office of U.S. Senator Cory Gardner,Washington,District of Columbia,United States,https://archive-it.org/organizations/1865
Office of U.S. Senator David Perdue,Washington,District of Columbia,United States,https://archive-it.org/organizations/1928
Office of U.S. Senator Kamala Harris,Washington,District of Columbia,United States,https://archive-it.org/organizations/1863
Office of U.S. Senator Patrick Leahy,Washington,District of Columbia,United States,https://archive-it.org/organizations/717
Office of U.S. Senator Tom Udall,Washington,District of Columbia,United States,https://archive-it.org/organizations/1882
U.S. Department of Agriculture's Economic Research Service,Washington,District of Columbia,United States,https://archive-it.org/organizations/992
U.S. Department of Education,Washington,District of Columbia,United States,https://archive-it.org/organizations/1216
U.S. Department of Health and Human Services,Washington,District of Columbia,United States,https://archive-it.org/organizations/745
U.S. Government Publishing Office (FDLP Web Archive),Washington,District of Columbia,United States,https://archive-it.org/organizations/593
"U.S. Senate Committee on Agriculture, Nutrition, and Forestry",Washington,District of Columbia,United States,https://archive-it.org/organizations/1875
"U.S. Senate Committee on Commerce, Science, and Transportation",Washington,District of Columbia,United States,https://archive-it.org/organizations/1870
U.S. Senate Committee on Energy and Natural Resources,Washington,District of Columbia,United States,https://archive-it.org/organizations/1867
U.S. Senate Committee on Environment and Public Works,Washington,District of Columbia,United States,https://archive-it.org/organizations/1866
U.S. Senate Committee on Homeland Security and Governmental Affairs,Washington,District of Columbia,United States,https://archive-it.org/organizations/1885
U.S. Senate Committee on Indian Affairs,Washington,District of Columbia,United States,https://archive-it.org/organizations/1877
U.S. Senate Committee on Small Business and Entrepreneurship,Washington,District of Columbia,United States,https://archive-it.org/organizations/1868
U.S. Senate Committee on the Budget,Washington,District of Columbia,United States,https://archive-it.org/organizations/1869
U.S. Senate Committee on Veterans' Affairs,Washington,District of Columbia,United States,https://archive-it.org/organizations/1881
U.S. Senate Special Committee on Aging,Washington,District of Columbia,United States,https://archive-it.org/organizations/1880
U.S. Senator John McCain,Washington,District of Columbia,United States,https://archive-it.org/organizations/1207
U.S. Senator Mark Pryor,Washington,District of Columbia,United States,https://archive-it.org/organizations/902
David J. Sencer CDC Museum,Atlanta,Georgia,United States,https://archive-it.org/organizations/1930
Indiana State Library,Indianapolis,Indiana,United States,https://archive-it.org/organizations/1662
Kansas Historical Society,Topeka,Kansas,United States,https://archive-it.org/organizations/606
Kentucky Department for Libraries and Archives,Frankfort,Kentucky,United States,https://archive-it.org/organizations/386
City of Winnipeg Archives,Winnipeg,Manitoba,Canada,https://archive-it.org/organizations/2058
Centers for Medicare & Medicaid Services,Baltimore,Maryland,United States,https://archive-it.org/organizations/551
Maryland State Archives,Annapolis,Maryland,United States,https://archive-it.org/organizations/528
NARA Congressional Web Harvests,College Park,Maryland,United States,https://archive-it.org/organizations/1466
National Agricultural Library,Beltsville,Maryland,United States,https://archive-it.org/organizations/1675
National Center for Complementary and Integrative Health (NCCIH),Bethesda,Maryland,United States,https://archive-it.org/organizations/1691
"National Institute of Allergy and Infectious Diseases, NIH",Rockville,Maryland,United States,https://archive-it.org/organizations/1031
National Institutes of Health,Bethesda,Maryland,United States,https://archive-it.org/organizations/317
National Library of Medicine,Bethesda,Maryland,United States,https://archive-it.org/organizations/350
U.S. Food and Drug Administration,Silver Spring,Maryland,United States,https://archive-it.org/organizations/1137
Commonwealth of Massachusetts,Chelsea,Massachusetts,United States,https://archive-it.org/organizations/315
Congresswoman Niki Tsongas Office (MA-03),Lowell,Massachusetts,United States,https://archive-it.org/organizations/1478
Massachusetts Department of Transportation,Boston,Massachusetts,United States,https://archive-it.org/organizations/980
Massachusetts Historical Society,Boston,Massachusetts,United States,https://archive-it.org/organizations/764
Library of Michigan,Lansing,Michigan,United States,https://archive-it.org/organizations/140
Federal Reserve Bank of Minneapolis,Minneapolis,Minnesota,United States,https://archive-it.org/organizations/1079
Mississippi Department of Archives and History,Jackson,Mississippi,United States,https://archive-it.org/organizations/761
Federal Reserve Bank of St. Louis,St. Louis,Missouri,United States,https://archive-it.org/organizations/1170
Missouri State Archives,Jefferson City,Missouri,United States,https://archive-it.org/organizations/1222
Montana State Library,Helena,Montana,United States,https://archive-it.org/organizations/139
Charlotte County Archives,St. Andrews,New Brunswick,Canada,https://archive-it.org/organizations/2118
Provincial Archives of New Brunswick,Fredericton,New Brunswick,Canada,https://archive-it.org/organizations/2509
New Jersey State Library,Trenton,New Jersey,United States,https://archive-it.org/organizations/1143
New York State Archives,Albany,New York,United States,https://archive-it.org/organizations/1228
NYC Department of Records & Information Services,New York,New York,United States,https://archive-it.org/organizations/1475
National Center for Science and Engineering Statistics,Durham,North Carolina,United States,https://archive-it.org/organizations/963
National Institute of Environmental Health Sciences (NIH/NIEHS),Durham,North Carolina,United States,https://archive-it.org/organizations/2510
North Carolina State Archives & Library,Raleigh,North Carolina,United States,https://archive-it.org/organizations/67
Oklahoma Department of Libraries,Oklahoma City,Oklahoma,United States,https://archive-it.org/organizations/449
Archives of Ontario,North York,Ontario,Canada,https://archive-it.org/organizations/1963
Dundas County Archives,Iroquois,Ontario,Canada,https://archive-it.org/organizations/2315
Library and Archives Canada | Bibliothèque et Archives Canada,Ottawa,Ontario,Canada,https://archive-it.org/organizations/591
Statistics Canada,Ottawa,Ontario,Canada,https://archive-it.org/organizations/2047
Oregon State Library,Salem,Oregon,United States,https://archive-it.org/organizations/508
State Library of Pennsylvania,Harrisburg,Pennsylvania,United States,https://archive-it.org/organizations/2014
Bibliothèque et Archives nationales du Québec (BAnQ),Montreal,Québec,Canada,https://archive-it.org/organizations/2316
Rhode Island Office of Library & Information Services,Providence,Rhode Island,United States,https://archive-it.org/organizations/1225
South Carolina Department of Archives and History,Columbia,South Carolina,United States,https://archive-it.org/organizations/115
South Carolina State Library,Columbia,South Carolina,United States,https://archive-it.org/organizations/1407
South Dakota State Archives and South Dakota State Library,Pierre,South Dakota,United States,https://archive-it.org/organizations/68
Tennessee State Library and Archives,Nashville,Tennessee,United States,https://archive-it.org/organizations/132
Texas State Library and Archives Commission,Austin,Texas,United States,https://archive-it.org/organizations/137
Uintah County Library,Uintah,Utah,United States,https://archive-it.org/organizations/2456
Utah State Archives and Records Service,Salt Lake City,Utah,United States,https://archive-it.org/organizations/143
Library of Virginia,Richmond,Virginia,United States,https://archive-it.org/organizations/66
National Science Foundation,Alexandria,Virginia,United States,https://archive-it.org/organizations/2512
Puget Sound Regional Council (PSRC),Seattle,Washington,United States,https://archive-it.org/organizations/2465
Wisconsin Historical Society,Madison,Wisconsin,United States,https://archive-it.org/organizations/478
Wyoming State Archives,Cheyenne,Wyoming,United States,https://archive-it.org/organizations/894
